word,token_id,snt_id,onset,offset,pos,log_freq
失敗,5,29,1.36187,1.37284,VERB,0
實在,6,29,1.81773,2.39788,ADV,2.30259
令到,7,29,1.90388,3.24986,VERB,2.30259
我,8,29,2.25612,4.34248,PRON,7.92154
好,9,29,2.36967,4.89866,ADV,7.52672
洩氣,10,29,2.54305,5.21066,VERB,0
尼,1,30,2.89289,5.38106,PROPN,0
啲,2,30,2.9872,5.60205,NOUN,7.20415
大人,3,30,3.08157,0.10077,NOUN,1.38629
自己,4,30,3.47684,0.21996,PRON,5.73334
成日,5,30,3.53553,75.729,ADV,5.09987
乜,6,30,0.12955,0.94081,PRON,5.1985
都,7,30,0.92472,1.00734,ADV,7.70931
唔,8,30,1.18148,1.23465,ADV,7.60489
明,9,30,1.52094,1.36187,VERB,3.78419
係,1,31,1.8604,1.81773,VERB,8.52119
都,2,31,2.81379,1.90388,ADV,7.70931
要,3,31,3.09386,2.25612,AUX,6.44254
啲,4,31,3.40883,2.36967,NOUN,7.20415
細路仔,5,31,3.60988,2.54305,NOUN,1.38629
解釋,6,31,3.70806,80.021,VERB,2.83321
尼,7,31,0.13273,2.9872,PROPN,0
樣,8,31,0.22785,3.08157,NOUN,4.63473
解釋,9,31,0.342,3.47684,VERB,2.83321
嗰,10,31,1.21365,3.53553,PRON,6.05444
樣,11,31,1.42801,0.12955,NOUN,4.63473
真係,1,32,1.70731,0.92472,ADV,6.39192
令,2,32,1.94088,1.18148,VERB,1.94591
人,3,32,2.06493,1.52094,NOUN,6.60665
好,4,32,2.14326,82.479,ADV,7.52672
攰,5,32,0.14787,2.81379,ADJ,1.94591
我,1,33,0.33569,3.09386,PRON,7.92154
唯有,2,33,0.43978,3.40883,ADV,1.38629
揀,3,33,0.54388,3.60988,VERB,3.82864
過,4,33,0.62083,3.70806,PART,5.96615
另,5,33,1.22905,0.13273,ADV,2.48491
一,6,33,1.61953,0.22785,NUM,7.01751
份,7,33,1.74745,0.342,NOUN,4.52179
職業,8,33,2.29418,1.21365,NOUN,0.69315
而,1,34,2.66396,1.42801,CCONJ,3.82864
最後,2,34,2.83818,85.562,ADV,3.2581
我,3,34,0.11129,1.94088,PRON,7.92154
去,4,34,0.2968,2.06493,VERB,6.6733
咗,5,34,0.39897,2.14326,PART,6.72863
學,6,34,0.5345,0.14787,VERB,3.95124
揸,7,34,0.78385,86.588,VERB,3.21888
飛機,8,34,0.50429,0.43978,NOUN,2.70805
我,1,35,0.22474,0.54388,PRON,7.92154
差唔多,2,35,0.45231,0.62083,ADV,3.95124
飛,3,35,0.64579,1.22905,NOUN,3.2581
勻,4,35,0.73189,1.61953,NOUN,0
嗮,5,35,0.80926,1.74745,NOUN,0
全,6,35,0.91635,2.29418,NOUN,1.38629
世界,7,35,1.1151,88.112,NOUN,1.94591
冇,1,36,0.13094,2.83818,VERB,6.66185
錯,2,36,0.22376,0.11129,ADJ,3.78419
原來,3,36,0.7749,0.2968,ADV,4.27667
地理,4,36,0.88067,0.39897,ADJ,0
知識,5,36,0.96745,0.5345,VERB,1.60944
真係,6,36,1.12503,0.78385,ADV,6.39192
好,7,36,1.23693,0.50429,ADV,7.52672
用,8,36,1.44104,90.009,VERB,4.74493
得,9,36,0.80575,0.45231,PART,6.2672
著,10,36,0.17047,0.64579,VERB,0
我,1,37,0.49959,0.73189,PRON,7.92154
可以,2,37,0.62978,0.80926,AUX,5.81114
一,3,37,0.75997,0.91635,NUM,7.01751
眼,4,37,0.90377,1.1151,NOUN,2.48491
就,5,37,1.11496,91.659,ADV,7.50824
分,6,37,0.11938,0.22376,VERB,3.85015
得,7,37,0.24726,0.7749,PART,6.2672
開,8,37,1.0568,0.88067,VERB,4.77912
中國,9,37,1.28299,0.96745,PROPN,2.99573
同埋,10,37,1.57889,1.12503,CCONJ,5.64191
亞利桑那州,11,37,1.98513,1.23693,NOUN,0
如果,1,38,2.23782,1.44104,CCONJ,5.80212
夜晚,2,38,2.4448,0.80575,ADV,2.48491
飛,3,38,2.63627,0.17047,VERB,3.2581
嗰,4,38,2.71771,94.616,PRON,6.05444
陣,5,38,0.11942,0.62978,NOUN,1.09861
蕩失路,6,38,0.1942,0.75997,NOUN,0
地理,7,38,0.40251,0.90377,X,0
真係,8,38,0.53521,1.11496,ADV,6.39192
好,9,38,0.81057,0.11938,ADJ,7.52672
有,10,38,0.95683,0.24726,VERB,7.19744
用,11,38,1.17601,1.0568,VERB,4.74493
就,1,39,1.26558,1.28299,ADV,7.50824
係,2,39,1.45092,1.57889,VERB,8.52119
咁,3,39,2.31224,1.98513,ADV,6.1334
我,4,39,1.21921,98.226,PRON,7.92154
人生,5,39,0.12619,2.4448,NOUN,1.38629
中,6,39,0.29539,2.63627,NOUN,3.3673
接觸,7,39,0.74292,2.71771,VERB,1.94591
過,8,39,0.95928,0.11942,PART,5.96615
好多,9,39,1.17564,0.1942,NUM,5.50533
好,10,39,1.38692,0.40251,ADV,7.52672
認真,11,39,2.52818,0.53521,ADJ,1.79176
嘅,12,39,2.78208,0.81057,PART,7.47647
人,13,39,3.01749,0.95683,NOUN,6.60665
我,1,40,3.17728,1.17601,PRON,7.92154
喺,2,40,3.35899,101.819,ADP,6.1506
大人,3,40,0.15463,1.45092,NOUN,1.38629
嘅,4,40,0.26493,2.31224,PART,7.47647
圈子,5,40,0.37523,1.21921,NOUN,1.09861
裡邊,6,40,0.78651,0.12619,ADV,0
生活,7,40,1.1978,0.29539,VERB,2.77259
咗,8,40,1.58786,0.74292,PART,6.72863
好,9,40,1.91261,0.95928,ADV,7.52672
耐,10,40,2.2442,1.17564,ADJ,4.02535
好,11,40,2.32408,1.38692,ADV,7.52672
耐,12,40,2.78434,2.52818,ADJ,4.02535
我,1,41,2.9607,2.78208,PRON,7.92154
曾經,2,41,3.46168,3.01749,VERB,1.60944
好,3,41,3.58329,105.624,ADV,7.52672
細心,4,41,0.15101,3.35899,ADJ,1.09861
咁,5,41,0.21301,0.15463,ADV,6.1334
