snt_id	snt
2.055	如果唔綁住佢佢會四圍走
2.056	好易唔見㗎
2.057	我尼位朋友仔又笑啦
2.058	咁你話佢走得去邊啫
2.059	邊度都好總之一路向前走
2.060	之後小王子好鄭重咁講
2.061	冇問題啊
2.062	我住嗰度
2.063	所有嘢都好細好細
2.064	跟住佢有少少傷感咁補充咗句
2.065	一路向前走
2.066	都走唔到幾遠
2.067	就係咁我知道咗另一件好重要嘅事
2.068	佢嚟嗰個星球原來只係僅僅大過一間屋㗎咋
2.069	不過其實咁都唔值得大驚小怪
2.070	我知道除咗地球啊木星啊火星啊金星啊嗰啲改咗名最重要嘅行星之外
2.071	其實仲有成千上萬咁多其它嘅行星
2.072	當中有啲好細好細
2.073	細到連用望遠鏡都睇唔到
2.074	當天文學家發現一粒咁嘅行星
2.075	就會畀個編號粒星星
2.076	而唔會同佢該名
2.077	所以舉個例
2.078	佢就可能會叫粒星星做小行星三二五咁
2.079	我好有理由相信小王子嚟嗰粒星星就係一粒叫B六一二嘅小行星
2.080	尼粒星星只係畀人用望遠鏡見過一次咁多
2.081	係一個土耳其天文學家喺一九零九年發現嘅
2.082	嗰陣時尼個天文學家好隆重其事咁喺國際天文學會大會上發表佢嘅發現
2.083	但係因為佢著住一身土耳其嘅傳統服飾
2.084	所以完全冇人相信佢
2.085	啲大人成日都係咁
2.086	但係好彩小行星B六一二嘅名聲都仲保得住
2.087	因為後來土耳其有個獨裁者以死刑脅迫佢嘅人民轉著歐洲服飾
2.088	喺一九二零年我哋尼位天文學家又再一次重新發表佢嘅發現
2.089	而尼次佢著住一套好優雅嘅禮服
2.090	今次大家都好同意佢嘅理據
2.091	我話畀你聽咁多有關於小行星B六一二嘅嘢
2.092	仲話畀你知佢個編號
2.093	其實都係因為啲大人
2.094	啲大人最鍾意就係數目字
2.095	當你介紹個新朋友畀佢哋識
2.096	佢哋永遠都唔會問啲最重要嘅問題
2.097	佢哋唔會問
2.098	佢把聲點樣㗎
2.099	佢最鍾意玩啲咩啊
2.100	佢有冇收集蝴蝶標本呢
2.101	佢哋反而會問
2.102	佢幾歲啊
2.103	佢有幾多個兄弟啊
2.104	佢幾重啊
2.105	佢阿爸掙幾多錢呢
2.106	只有問過尼啲問題
2.107	佢哋先會覺得自己認識咗尼個人
2.108	如果你同個大人講
2.109	我見到間好別緻嘅粉紅色磚屋
2.110	窗臺前面種咗好多洋葵花
2.111	屋簷上邊仲有一竇竇白鴿𠻹
2.112	佢哋完全唔會能夠想象到嗰間屋係咩樣
